Time;P_CO2;P_Ac
min;ppm;ppm
0;4,29;624,347
0,51600000000002;1,053;628,367
1,01600000000002;0,009;628,762
1,53300000000002;-0,478;628,486
2,03300000000002;-0,709;627,906
2,53300000000002;-0,907;627,304
3,05000000000001;-1,094;627,002
3,55000000000001;-1,183;626,514
4,06600000000003;-1,129;626,145
4,56600000000003;-1,088;628,071
5,08300000000003;-1,122;626,557
5,58300000000003;-0,855;625,306
6,08300000000003;-0,914;625,213
6,60000000000002;-1,06;628,476
7,10000000000002;-1,12;634,975
7,61600000000004;-1,004;639,46
8,11600000000004;-0,991;641,375
8,63300000000004;-1,03;642,278
9,13300000000004;-1,108;641,04
9,63300000000004;-1,202;639,136
10,15;-0,213;637,201
10,65;27,297;627,953
11,166;88,26;609,271
11,666;132,196;594,749
12,166;151,129;588,122
12,683;158,186;585,552
13,183;160,741;584,572
13,7;161,796;583,903
14,2;162,504;583,215
14,716;163,129;583,018
15,216;163,242;583,492
15,716;162,866;584,999
16,233;162,372;586,866
16,733;162,304;588,132
17,25;162,129;589,537
17,75;162,156;589,829
18,266;162,067;589,585
18,766;161,932;589,683
19,283;162,045;589,186
19,783;161,842;588,058
20,283;157,697;587,709
20,8;120,215;597,281
21,3;65,63;613,003
21,816;29,527;622,878
22,316;11,487;627,656
22,816;3,837;632,026
23,333;0,961;637,349
23,833;-0,045;640,61
24,35;-0,395;641,479
24,85;-0,667;641,304
25,366;-0,855;640,267
25,866;-0,976;638,455
26,383;-1,016;636,724
26,883;-0,929;635,04
27,383;-0,928;633,411
27,9;-0,934;632,124
28,4;-0,91;630,975
28,916;-0,964;629,95
29,416;-1,065;628,626
29,933;-1,254;627,628
30,433;8,059;625,165
30,933;58,749;611,742
31,45;115,492;595,615
31,95;143,82;587,826
32,466;154,896;586,166
32,966;158,66;586,549
33,483;160,258;587,422
33,983;160,671;588,442
34,483;160,69;588,845
35;160,864;588,791
35,5;160,711;588,35
36,016;160,635;587,832
36,516;160,76;587,005
37,016;160,791;585,933
37,533;160,975;585,008
38,033;161,333;583,847
38,55;161,294;582,866
39,05;161,343;582,752
39,566;161,344;583,398
40,066;160,972;584,93
40,583;140,926;593,076
41,083;94,832;608,998
41,583;60,406;620,686
42,1;28,48;630,644
42,6;8,862;634,236
43,116;2,868;634,519
43,616;1,306;634,28
44,116;0,454;631,898
44,633;0,147;630,849
45,133;-0,042;630,299
45,65;-0,117;629,585
46,15;-0,403;628,893
46,666;-0,437;631,284
47,166;-0,515;636,208
47,666;-0,638;639,788
48,183;-0,714;640,619
48,683;-0,707;640,563
49,2;-0,799;639,446
49,7;-0,854;637,853
50,216;0,674;636,46
50,716;32,74;625,566
51,233;93,166;608,035
51,733;133,337;594,768
52,233;150,366;587,786
52,75;156,336;585,322
53,25;158,457;585,147
53,766;159,442;584,445
54,266;159,937;583,766
54,783;160,536;583,706
55,283;160,444;584,055
55,783;160,034;585,968
56,3;159,725;587,85
56,8;159,818;589,196
57,316;159,838;590,079
57,816;159,616;590,838
58,316;159,452;591,009
58,833;159,35;590,573
59,333;159,405;589,786
59,85;159,355;588,581
60,35;152,823;589,827
60,866;111,972;600,109
61,366;58,184;615,163
61,866;24,512;624,138
62,383;9,533;628,775
62,883;3,28;633,784
63,4;0,712;638,976
63,9;-0,366;641,224
64,416;-0,645;641,285
64,916;-0,644;640,431
65,416;-0,856;639,023
65,933;-1,157;637,001
66,433;-1,199;634,916
66,95;-1,149;632,872
67,45;-1,151;631,403
67,966;-1,271;630,419
68,466;-1,205;628,831
68,966;-1,178;627,207
69,483;-1,159;626,336
69,983;-1,251;626,343
70,5;15,38;623,957
71;66,375;610,334
71,516;118,786;594,999
72,016;143,711;588,302
72,516;153,252;588,122
73,033;156,667;589,632
73,533;157,73;590,861
74,05;158,354;591,676
74,55;158,222;592,08
75,066;158,289;592,085
75,566;158,342;591,816
76,066;158,474;590,39
76,583;158,514;589,393
77,083;158,453;588,784
77,6;158,507;587,837
78,1;158,857;586,763
78,616;159,189;585,861
79,116;159,37;585,856
79,616;159,094;587,54
80,133;157,63;589,642
80,633;134,133;598,419
81,15;79,836;617,131
81,65;36,482;631,173
82,166;14,319;636,247
82,666;4,794;636,547
83,166;1,386;635,526
83,683;-0,119;634,532
84,183;-0,642;633,452
84,7;-0,882;632,238
85,2;-1,014;631,271
85,716;-1,274;630,38
86,216;-1,344;630,499
86,716;-1,423;634,056
